# format: trackId, is-primary, nHits, pt, eta, pdg, q
177, 1, 0, 0.568238, 2.94716, 2212, 3.000000
178, 1, 0, 0.927283, -2.58305, 2112, 0.000000
179, 1, 0, 0.106795, 3.89543, 2112, 0.000000
180, 1, 0, 0.156071, 3.62867, 2112, 0.000000
181, 1, 0, 0.0308592, 5.56174, 2112, 0.000000
182, 1, 0, 0.483924, -2.30132, 2112, 0.000000
183, 1, 0, 0.153105, 3.92341, 2112, 0.000000
184, 1, 43, 0.582998, -1.32773, 2212, 3.000000
185, 1, 0, 0.487767, 2.37896, 2112, 0.000000
186, 1, 0, 1.55288, 0.65284, 2112, 0.000000
187, 1, 50, 0.713796, -1.18895, 2212, 3.000000
188, 1, 0, 0.199906, 3.40907, 2112, 0.000000
189, 1, 0, 0.513271, 1.18504, 3212, 0.000000
190, 1, 0, 0.133939, 3.69364, 2112, 0.000000
191, 1, 24, 1.01602, -1.73326, 2212, 3.000000
192, 1, 0, 0.113857, 3.9261, 2112, 0.000000
193, 1, 0, 0.507424, 2.13163, 2212, 3.000000
194, 1, 0, 0.0822151, 4.59105, 2112, 0.000000
195, 1, 0, 1.04086, 1.99177, 2112, 0.000000
196, 1, 44, 1.18905, -1.21508, 2212, 3.000000
197, 1, 0, 0.201846, -3.36301, 2212, 3.000000
198, 1, 0, 0.117794, -4.17962, 2212, 3.000000
199, 1, 0, 0.224895, -1.96551, 2112, 0.000000
200, 1, 0, 0.158858, -3.66676, 2212, 3.000000
201, 1, 0, 0.233717, -2.45217, 2212, 3.000000
202, 1, 52, 0.313555, -0.635267, 2212, 3.000000
203, 1, 0, 0.174995, -3.45106, 2212, 3.000000
204, 1, 0, 0.476303, -1.39525, 2112, 0.000000
205, 1, 56, 1.76196, -0.762755, 2212, 3.000000
206, 1, 0, 0.534399, -2.34691, 2212, 3.000000
207, 1, 0, 0.156372, -3.78874, 2212, 3.000000
208, 1, 0, 1.16912, -0.193688, 2112, 0.000000
209, 1, 0, 0.491394, -2.81984, 2212, 3.000000
210, 1, 0, 0.670322, -0.252399, 3222, 3.000000
211, 1, 13, 0.744596, -1.87168, 2212, 3.000000
212, 1, 0, 0.209071, -3.6457, 2212, 3.000000
213, 1, 0, 0.137165, -3.59348, 2212, 3.000000
214, 1, 0, 0.302528, -1.23868, 2112, 0.000000
215, 1, 0, 0.0363036, -4.88421, 2112, 0.000000
216, 1, 0, 0.126898, -4.23284, 2212, 3.000000
217, 1, 0, 1.06002, 1.51469, 3222, 3.000000
218, 1, 32, 0.887214, -1.57254, 2212, 3.000000
219, 1, 26, 1.49301, -1.72928, 2212, 3.000000
220, 1, 0, 0.628348, -2.14359, 2112, 0.000000
221, 1, 19, 0.588883, 1.70262, 2212, 3.000000
222, 1, 0, 0.129395, -4.12255, 2212, 3.000000
223, 1, 30, 0.805593, -1.54339, 2212, 3.000000
224, 1, 0, 0.178001, -3.65425, 2212, 3.000000
225, 1, 0, 0.373517, -2.64242, 2212, 3.000000
226, 1, 45, 1.00096, -1.42447, 2212, 3.000000
227, 1, 0, 0.0819978, -4.59982, 2212, 3.000000
228, 1, 0, 0.0614273, -4.92496, 2212, 3.000000
229, 1, 0, 0.0822158, -4.25389, 2212, 3.000000
230, 1, 0, 0.460463, 0.0303928, 2112, 0.000000
231, 1, 0, 0.210778, -2.99274, 2112, 0.000000
232, 1, 0, 0.274068, -3.18946, 2212, 3.000000
233, 1, 0, 0.602574, -1.47212, 2112, 0.000000
234, 1, 0, 0.300355, -1.43294, 2112, 0.000000
235, 1, 0, 0.502159, -2.40533, 2212, 3.000000
236, 1, 51, 0.702312, -0.92205, 2212, 3.000000
237, 1, 47, 0.475809, 0.132877, 2212, 3.000000
238, 1, 0, 0.174229, -3.5659, 2212, 3.000000
239, 1, 0, 1.1838, 1.79932, 2112, 0.000000
240, 1, 0, 0.119119, -4.12284, 2212, 3.000000
241, 1, 0, 0.0893516, -4.35716, 2212, 3.000000
242, 1, 0, 0.678194, -1.15049, 2112, 0.000000
243, 1, 0, 0.107653, -4.19482, 2212, 3.000000
244, 1, 36, 0.421607, -1.51441, 2212, 3.000000
245, 1, 0, 0.181234, -3.46634, 2212, 3.000000
246, 1, 0, 0.672408, -1.5689, 2112, 0.000000
247, 1, 0, 0.345404, -2.89635, 2212, 3.000000
248, 1, 0, 0.0802917, -4.40055, 2212, 3.000000
249, 1, 0, 0.165947, -3.8294, 2212, 3.000000
250, 1, 0, 0.988823, -1.1242, 3122, 0.000000
251, 1, 0, 0.365898, -2.73463, 2212, 3.000000
252, 1, 0, 0.134232, -3.95438, 2212, 3.000000
253, 1, 0, 0.952343, -0.840675, 2112, 0.000000
254, 1, 0, 0.247999, -3.09199, 2112, 0.000000
